   109/149     7.68G   0.03435   0.01949  0.001708   0.05555         8       640    0.8203     0.791    0.8531    0.4805   0.06435    0.1542  0.009582
   110/149     7.68G   0.03428   0.01925  0.001807   0.05533        36       640    0.8073    0.7999    0.8509    0.4797   0.06437    0.1545  0.009726
   111/149     7.68G   0.03406    0.0195  0.001739    0.0553        18       640    0.8256    0.7828    0.8519    0.4808    0.0644    0.1553   0.00958
   112/149     7.68G   0.03389   0.01958  0.001735    0.0552        45       640     0.821    0.7891    0.8509    0.4804   0.06443     0.155  0.009581
   113/149     7.68G   0.03376   0.01918  0.001729   0.05467        12       640    0.8247    0.7844    0.8522    0.4815    0.0643    0.1547  0.009708
   114/149     7.68G   0.03367   0.01965   0.00167   0.05499        54       640    0.8177    0.7882    0.8522    0.4827   0.06404     0.156  0.009646
   115/149     7.68G   0.03383   0.01994  0.001745   0.05552        30       640    0.8285    0.7812    0.8532    0.4829   0.06384     0.157  0.009554
   116/149     7.68G   0.03378    0.0197   0.00173   0.05521        13       640    0.8212    0.7898    0.8515    0.4815   0.06405    0.1568  0.009501
   117/149     7.68G   0.03384   0.01964  0.001719    0.0552         9       640    0.8354    0.7791    0.8533    0.4799   0.06418    0.1565  0.009483
   118/149     7.68G   0.03362   0.01909  0.001656   0.05437         6       640    0.8394    0.7766    0.8532    0.4807   0.06434    0.1553  0.009499
   119/149     7.68G   0.03383   0.01975  0.001775   0.05536        25       640    0.8274    0.7827    0.8529    0.4807   0.06423    0.1567  0.009502
   120/149     7.68G   0.03335   0.01914  0.001635   0.05413        29       640    0.8282     0.785     0.853    0.4823   0.06426    0.1563  0.009449
   121/149     7.68G    0.0335   0.01925  0.001674   0.05443        20       640    0.8432    0.7733    0.8531     0.483   0.06442    0.1549  0.009404
   122/149     7.68G   0.03339   0.01928  0.001642   0.05431        29       640    0.8265    0.7885     0.855    0.4834   0.06444    0.1546  0.009384
   123/149     7.68G    0.0333   0.01894  0.001587   0.05382        28       640    0.8236     0.789    0.8542    0.4847   0.06421    0.1562  0.009423
   124/149     7.68G    0.0331   0.01922  0.001614   0.05394        11       640    0.8356    0.7798    0.8532    0.4848   0.06407    0.1567  0.009468
   125/149     7.68G   0.03316   0.01925  0.001638   0.05405        27       640    0.8299    0.7818    0.8535    0.4848     0.064    0.1567  0.009516
   126/149     7.68G   0.03318   0.01925  0.001568     0.054         8       640    0.8429     0.774    0.8539     0.484   0.06392    0.1577  0.009484
   127/149     7.68G   0.03292   0.01902  0.001592   0.05353         4       640    0.8372    0.7781    0.8546    0.4872   0.06374    0.1584  0.009521
   128/149     7.68G   0.03304   0.01912  0.001452   0.05361        16       640    0.8139    0.8001    0.8536     0.486    0.0637    0.1594  0.009437
   129/149     7.68G   0.03312   0.01947  0.001526   0.05412        38       640    0.8237     0.792    0.8548    0.4868   0.06367    0.1595  0.009421
   130/149     7.68G     0.033   0.01933  0.001621   0.05396        21       640    0.8447    0.7713    0.8541    0.4884   0.06373    0.1589  0.009481
   131/149     7.68G   0.03267   0.01914  0.001516   0.05333        31       640    0.8136    0.7955    0.8527    0.4866   0.06386    0.1588  0.009543
   132/149     7.68G   0.03291   0.01948  0.001635   0.05403        15       640    0.8225    0.7902    0.8539    0.4865   0.06388    0.1581  0.009576
   133/149     7.68G   0.03276   0.01909  0.001557   0.05341        29       640    0.8214    0.7922    0.8536    0.4863   0.06377    0.1587  0.009616
   134/149     7.68G   0.03292   0.01927    0.0016   0.05378        62       640    0.8396    0.7788    0.8536    0.4865    0.0637    0.1593  0.009543
   135/149     7.68G   0.03271   0.01904  0.001522   0.05328        40       640    0.8313    0.7834    0.8549    0.4867   0.06364    0.1598  0.009468
   136/149     7.69G   0.03265   0.01897  0.001601   0.05322        52       640     0.823    0.7933    0.8555    0.4877   0.06365    0.1598  0.009468
   137/149     7.69G   0.03236   0.01895  0.001524   0.05284        21       640     0.813    0.8004     0.856    0.4873   0.06363    0.1597  0.009465
   138/149     7.69G   0.03251   0.01909  0.001447   0.05304        51       640    0.8327    0.7843    0.8548    0.4865    0.0636    0.1601   0.00944
