   113/149     7.91G   0.01986    0.0212  0.001689   0.04274         2       640    0.8219    0.7816    0.8506    0.4592   0.05511    0.1936   0.01387
   114/149     7.91G   0.01991   0.02069   0.00173   0.04233         9       640     0.808    0.7898    0.8488     0.458   0.05522    0.1923   0.01408
   115/149     7.91G   0.01974   0.02081  0.001544   0.04209        41       640    0.8318    0.7704      0.85    0.4601   0.05513    0.1931    0.0137
   116/149     7.91G   0.01982   0.02082  0.001653    0.0423        39       640    0.8105     0.792      0.85      0.46   0.05504    0.1931   0.01362
   117/149     7.91G   0.01983    0.0202  0.001631   0.04167        22       640    0.8398    0.7672    0.8508    0.4611   0.05489    0.1938   0.01363
   118/149     7.91G   0.01975   0.02067  0.001659   0.04207        11       640     0.839      0.77    0.8515    0.4605   0.05483    0.1941    0.0136
   119/149     7.91G   0.01963   0.02088  0.001589    0.0421        36       640    0.8211    0.7847    0.8503    0.4605   0.05475    0.1949   0.01371
   120/149     7.91G   0.01978   0.02081  0.001583   0.04217        64       640     0.828    0.7809    0.8506    0.4592   0.05467    0.1951   0.01359
   121/149     7.91G   0.01956   0.02053   0.00149   0.04158        15       640    0.8244    0.7889    0.8518    0.4605   0.05463    0.1965   0.01362
   122/149     7.91G   0.01951   0.02039  0.001552   0.04146        25       640    0.8427    0.7707    0.8507    0.4609   0.05466    0.1971   0.01363
   123/149     7.91G   0.01951   0.02068   0.00157   0.04176        14       640     0.845     0.771    0.8522    0.4624   0.05459    0.1969   0.01352
   124/149     7.91G   0.01959   0.01996    0.0016   0.04114        11       640    0.8282    0.7823    0.8515    0.4612   0.05459    0.1977   0.01337
   125/149     7.91G   0.01957   0.02031   0.00156   0.04144        15       640    0.8399    0.7696    0.8522    0.4614   0.05454    0.1982   0.01327
   126/149     7.91G    0.0195   0.02014  0.001479   0.04112         8       640     0.827    0.7815    0.8506    0.4615   0.05458    0.1987   0.01321
   127/149     7.91G   0.01943   0.02018  0.001572   0.04119        23       640    0.8279    0.7828    0.8525     0.463   0.05451    0.1998   0.01309
   128/149     7.91G   0.01936   0.02053  0.001468   0.04135         4       640    0.8265    0.7849     0.853    0.4639   0.05456    0.1999   0.01285
   129/149     7.91G   0.01945   0.01994  0.001435   0.04083        57       640    0.8262    0.7879    0.8536    0.4655   0.05439    0.2014   0.01302
   130/149     7.91G    0.0194   0.02049  0.001502   0.04139        13       640    0.8231    0.7899     0.854    0.4656   0.05435    0.2019   0.01293
   131/149     7.91G   0.01935   0.02018  0.001556   0.04108        27       640     0.847    0.7678    0.8543     0.466   0.05442    0.2012     0.013
   132/149     7.91G   0.01945   0.02032  0.001609   0.04138        67       640    0.8156    0.7959    0.8529    0.4648    0.0544    0.2009    0.0131
   133/149     7.91G   0.01931   0.02032  0.001482   0.04111        53       640     0.829    0.7833    0.8519    0.4644   0.05439    0.2007    0.0133
   134/149     7.91G   0.01925   0.01986  0.001444   0.04055        16       640    0.8222    0.7887    0.8529    0.4651   0.05433    0.2014   0.01326
   135/149     7.91G   0.01943   0.02035   0.00153   0.04131        13       640    0.8383    0.7742    0.8517    0.4644   0.05432    0.2012   0.01334
   136/149     7.91G   0.01921   0.02027  0.001474   0.04095        42       640    0.8344    0.7802    0.8513    0.4638   0.05434     0.201   0.01346
